,Date,DomicileCode,Domicile,ExterieurCode,Exterieur,DomicileForme,ExterieurForme,DiffForme,FAF_VictoiresDomicile,FAF_VictoiresExterieur,SemaineSaison,Mois,AnneeSaison,Cible,DomicileAvgButsMarques_Home,DomicileAvgButsEncaisses_Home,DomicileAvgButsMarques_Away,DomicileAvgButsEncaisses_Away,ExterieurAvgButsMarques_Home,ExterieurAvgButsEncaisses_Home,ExterieurAvgButsMarques_Away,ExterieurAvgButsEncaisses_Away,DiffButs
25,2016-01-17,16,Liverpool,19,Man United,2,2,0,0,1,24,1,2015,0,1.4,1.4,1.0,1.1818181818181819,1.2,0.4,1.3636363636363635,1.4545454545454546,-0.8909090909090909
26,2016-01-17,26,Stoke,0,Arsenal,3,4,-1,0,1,24,1,2015,0,1.3,1.0,1.0,1.0909090909090908,1.6,0.6,1.9090909090909092,1.3636363636363635,-1.3363636363636364
27,2016-01-18,28,Swansea,30,Watford,2,2,0,0,1,24,1,2015,1,1.0,1.4545454545454546,0.8,1.4,1.0,0.9090909090909091,1.4,1.4,-1.1454545454545453
28,2016-01-23,31,West Brom,1,Aston Villa,2,3,-1,1,0,25,1,2015,0,1.6,1.3,1.9166666666666667,1.0833333333333333,1.1818181818181819,0.9090909090909091,1.0,1.0909090909090908,0.9515151515151514
29,2016-01-23,27,Sunderland,2,Bournemouth,1,4,-3,1,0,25,1,2015,0,1.0909090909090908,1.0909090909090908,1.0,1.0909090909090908,1.8333333333333333,0.75,1.6,0.9,-1.8742424242424245
30,2016-01-23,32,West Ham,18,Man City,2,2,0,0,1,25,1,2015,0,1.2,1.0,1.0,2.3333333333333335,1.2727272727272727,1.3636363636363635,1.0,1.1818181818181819,-0.8606060606060608
31,2016-01-23,30,Watford,21,Newcastle,3,3,0,1,0,25,1,2015,1,1.2,0.4,1.3333333333333333,1.3333333333333333,1.8333333333333333,1.0833333333333333,0.9,1.1,0.2500000000000002
32,2016-01-23,19,Man United,25,Southampton,3,1,2,1,0,25,1,2015,0,1.2727272727272727,1.5454545454545454,0.7272727272727273,1.1818181818181819,0.7272727272727273,1.2727272727272727,0.9090909090909091,2.1818181818181817,1.0909090909090906
33,2016-01-23,15,Leicester,26,Stoke,4,4,0,1,0,25,1,2015,1,1.6,1.2,1.5,1.1666666666666667,2.75,1.0,1.0,0.9,-1.1166666666666667
34,2016-01-23,22,Norwich,16,Liverpool,2,2,0,0,1,25,1,2015,0,1.2,1.1,1.25,2.8333333333333335,1.2727272727272727,1.4545454545454546,1.0909090909090908,1.9090909090909092,-0.4833333333333334
35,2016-01-23,8,Crystal Palace,29,Tottenham,1,1,0,1,0,25,1,2015,0,1.0,0.9090909090909091,1.2727272727272727,1.3636363636363635,1.5833333333333333,1.5,0.5,2.1,1.516666666666667
36,2016-01-24,0,Arsenal,7,Chelsea,4,2,2,0,1,25,1,2015,0,1.6,0.6,1.75,1.25,1.6666666666666667,1.5833333333333333,1.1,1.5,1.8166666666666664
37,2016-01-24,9,Everton,28,Swansea,3,3,0,1,0,25,1,2015,0,2.090909090909091,1.8181818181818181,1.4545454545454546,1.0909090909090908,1.0,1.3333333333333333,0.8,1.4,1.5696969696969696
38,2016-02-02,31,West Brom,28,Swansea,4,3,1,0,1,26,2,2015,0,1.4545454545454546,0.6363636363636364,1.75,1.25,1.8333333333333333,1.0833333333333333,0.9090909090909091,1.0,0.6590909090909092
39,2016-02-02,22,Norwich,29,Tottenham,0,3,-3,1,0,26,2,2015,0,1.0833333333333333,1.25,1.0,1.0909090909090908,1.2727272727272727,1.4545454545454546,1.0833333333333333,1.8333333333333333,0.6742424242424243
40,2016-02-02,27,Sunderland,18,Man City,3,2,1,0,1,26,2,2015,0,1.7272727272727273,1.1818181818181819,1.9166666666666667,1.0833333333333333,1.2727272727272727,1.3636363636363635,1.3333333333333333,1.4166666666666667,1.553030303030303
